IDs	yPred	Prob_AFR	Prob_AMR	Prob_EAS	Prob_EUR	Prob_SAS	LR	AUC_AFR	AUC_AMR	AUC_EAS	AUC_EUR	AUC_SAS	N_46	N_12
Sample1	EAS	1.03e-30	4.57e-20	1.00e+00	4.74e-35	1.11e-19	6.38e+18	0.9996	0.9964	1.0000	0.9977	0.9997	22	9
Sample2	EAS	1.51e-41	9.80e-20	1.00e+00	9.16e-26	5.80e-21	9.63e+18	0.9994	0.9970	1.0000	0.9963	0.9985	21	7
Sample3	AMR	7.72e-23	1.00e+00	3.91e-12	1.04e-19	1.62e-14	2.55e+11	0.9996	0.9955	1.0000	0.9981	0.9997	23	6
Sample4	EUR	1.94e-17	1.65e-03	4.74e-21	9.79e-01	1.89e-02	4.76e+01	0.9996	0.9953	1.0000	0.9968	0.9995	21	7
Sample5	AMR	6.98e-67	1.00e+00	1.12e-39	5.66e-61	5.53e-47	8.90e+38	0.9994	0.9947	1.0000	0.9971	0.9991	26	7
Sample6	EAS	3.36e-30	4.75e-19	1.00e+00	9.38e-38	1.42e-25	2.10e+18	0.9998	0.9960	1.0000	0.9974	0.9996	22	9
Sample7	SAS	1.96e-39	1.50e-04	7.50e-32	6.76e-05	1.00e+00	4.60e+03	0.9992	0.9922	1.0000	0.9973	0.9983	23	5
Sample8	AFR	1.00e+00	1.19e-26	1.27e-43	4.52e-38	3.01e-37	8.38e+25	0.9997	0.9964	1.0000	0.9977	0.9997	24	8
Sample9	EAS	1.45e-31	1.51e-20	1.00e+00	6.62e-36	6.45e-21	4.65e+19	0.9997	0.9962	1.0000	0.9972	0.9998	22	8
Sample10	AFR	1.00e+00	2.41e-31	4.55e-67	2.60e-45	9.93e-49	4.15e+30	0.9995	0.9957	1.0000	0.9973	0.9997	26	8
Sample11	AFR	1.00e+00	3.38e-34	2.46e-59	1.40e-53	2.69e-54	2.96e+33	0.9996	0.9942	1.0000	0.9955	0.9989	22	6
Sample12	AFR	1.00e+00	1.16e-37	3.53e-67	2.35e-52	6.73e-62	8.62e+36	0.9997	0.9974	1.0000	0.9968	0.9991	24	7
Sample13	SAS	3.50e-43	3.46e-23	9.78e-29	1.55e-27	1.00e+00	2.89e+22	0.9998	0.9969	1.0000	0.9981	0.9998	24	10
Sample14	SAS	1.06e-44	3.28e-16	5.05e-31	5.67e-28	1.00e+00	3.05e+15	0.9997	0.9946	1.0000	0.9968	0.9998	22	8
Sample15	EUR	1.52e-31	5.33e-04	1.22e-30	9.99e-01	1.40e-07	1.87e+03	0.9998	0.9979	1.0000	0.9984	0.9997	27	10
Sample16	AFR	1.00e+00	4.45e-21	2.16e-35	3.43e-35	2.52e-41	2.25e+20	0.9995	0.9941	1.0000	0.9966	0.9999	22	6
Sample17	AMR	2.35e-39	1.00e+00	5.62e-28	1.35e-10	7.44e-16	7.38e+09	0.9995	0.9946	1.0000	0.9982	0.9999	23	6
Sample18	AMR	7.63e-27	1.00e+00	1.50e-20	1.42e-15	9.55e-07	1.05e+06	0.9996	0.9977	1.0000	0.9980	0.9996	26	9
Sample19	SAS	4.21e-24	2.51e-01	3.72e-29	1.38e-02	7.35e-01	2.78e+00	0.9994	0.9953	1.0000	0.9976	0.9999	25	8
Sample20	AMR	2.50e-26	1.00e+00	3.46e-21	1.01e-10	2.51e-05	3.98e+04	0.9999	0.9969	1.0000	0.9978	0.9997	24	9
